locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-16T18:45:00+00:00,2021-01-16,pm10,59,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-16T18:15:00+00:00,2021-01-16,pm10,59,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-16T06:00:00+00:00,2021-01-16,pm10,73.11,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-16T03:45:00+00:00,2021-01-16,pm10,110,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-16T01:00:00+00:00,2021-01-16,pm10,75.07,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-15T08:00:00+00:00,2021-01-15,pm10,51,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-15T07:30:00+00:00,2021-01-15,pm10,51,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-15T06:15:00+00:00,2021-01-15,pm10,63,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-15T05:15:00+00:00,2021-01-15,pm10,68,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-15T04:15:00+00:00,2021-01-15,pm10,82,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T17:00:00+00:00,2021-01-14,pm10,49.51,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T16:30:00+00:00,2021-01-14,pm10,52,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T15:30:00+00:00,2021-01-14,pm10,74,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T15:00:00+00:00,2021-01-14,pm10,83.02,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T14:30:00+00:00,2021-01-14,pm10,88,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T09:00:00+00:00,2021-01-14,pm10,63.4,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T07:45:00+00:00,2021-01-14,pm10,49,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T07:30:00+00:00,2021-01-14,pm10,49,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T07:15:00+00:00,2021-01-14,pm10,49,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T07:00:00+00:00,2021-01-14,pm10,45.07,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T06:30:00+00:00,2021-01-14,pm10,43,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T04:45:00+00:00,2021-01-14,pm10,72,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T04:30:00+00:00,2021-01-14,pm10,72,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T02:15:00+00:00,2021-01-14,pm10,71,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T01:45:00+00:00,2021-01-14,pm10,48,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T01:30:00+00:00,2021-01-14,pm10,48,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T01:00:00+00:00,2021-01-14,pm10,48.64,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T00:30:00+00:00,2021-01-14,pm10,49,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T00:15:00+00:00,2021-01-14,pm10,49,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-14T00:00:00+00:00,2021-01-14,pm10,48.34,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-13T23:45:00+00:00,2021-01-13,pm10,48,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-13T23:30:00+00:00,2021-01-13,pm10,48,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-13T23:00:00+00:00,2021-01-13,pm10,49.97,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-13T22:45:00+00:00,2021-01-13,pm10,51,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-13T17:15:00+00:00,2021-01-13,pm10,62,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-13T17:00:00+00:00,2021-01-13,pm10,72.96,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-13T16:30:00+00:00,2021-01-13,pm10,79,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-13T09:15:00+00:00,2021-01-13,pm10,52,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-13T05:00:00+00:00,2021-01-13,pm10,71.98,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-13T04:45:00+00:00,2021-01-13,pm10,67,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-12T15:45:00+00:00,2021-01-12,pm10,79,µg/m³,14.4758,75.9052
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,IN,2021-01-12T14:00:00+00:00,2021-01-12,pm10,91.62,µg/m³,14.4758,75.9052
